s,Expected Score,Sim Avg (10e2),Sim Avg (10e4),Sim Avg (10e6)
1,3.4013605442176864,3.51,3.3517,3.398407
2,3.4013605442176864,2.84,3.3837,3.402158
3,3.4013605442176864,2.75,3.4061,3.404454
4,3.4013605442176864,3.79,3.453,3.403184
5,3.4831166026501297,3.62,3.4586,3.484594
6,3.5695003625032777,3.8,3.5595,3.567723
7,3.6177518626498206,4.09,3.6752,3.616065
8,3.6150369444830077,4.52,3.6232,3.61334
9,3.572343163333689,3.5,3.5749,3.576567
10,3.516329437354406,3.41,3.6553,3.516384
11,3.4523811097857613,3.1,3.5222,3.458397
12,3.374306644928012,3.41,3.289,3.360851
13,3.2741998151439007,3.02,3.3526,3.271555
14,3.1519180463369403,2.03,3.1799,3.155642
15,3.014673887865078,2.77,3.0423,2.997117
16,2.875133861300031,2.94,2.815,2.877426
17,2.7409192869978685,1.85,2.8251,2.744905
18,2.6131509716770798,2.81,2.5591,2.611371
19,2.4882939803519166,2.65,2.5638,2.482077
20,2.3629051745916505,1.3,2.3033,2.35488
21,2.236094044405643,2.07,2.3126,2.24236
22,2.1095786863885233,2.42,2.1227,2.11582
23,1.9861581304507492,4.26,1.9474,1.992176
24,1.8680498875072566,0.74,1.8188,1.879295
25,1.7559810395260953,0.58,1.7509,1.760742
26,1.6494785724221686,1.84,1.6483,1.655676
27,1.5476853232022134,0.86,1.592,1.559833
28,1.4500535652558506,2.26,1.599,1.452974
29,1.3565581814745467,1.62,1.3128,1.354204
30,1.267507086900079,1.28,1.3335,1.260061
31,1.1832109178887498,1.41,1.1072,1.190681
32,1.1037612771202105,2.12,1.1605,1.093922
33,1.0290038631846012,1.05,1.075,1.033547
34,0.9586507455292141,0.77,0.8834,0.96145
35,0.8924147886321508,1.62,0.9035,0.885432
36,0.8300836925554481,0.78,0.8543,0.832591
37,0.7715178537733149,0.79,0.8134,0.772198
38,0.7166054242564952,1.26,0.7597,0.724682
39,0.6652182688381387,0.85,0.6859,0.653923
40,0.6171944220012229,0.0,0.6191,0.619803
41,0.5723471234505899,0.41,0.5813,0.575386
42,0.5304853498914538,0.42,0.5209,0.53421
43,0.49143023400051644,1.37,0.5092,0.500188
44,0.45502032335434883,0.45,0.4182,0.443304
45,0.4211076693855886,0.0,0.48,0.423592
46,0.3895509769662432,0.48,0.4347,0.39204
47,0.36021105780127777,0.53,0.3604,0.361295
48,0.33295032158898297,1.57,0.3516,0.337763
49,0.3076350076154021,0.0,0.3165,0.30766
50,0.2841378160544558,0.0,0.2936,0.285091
