r,E(Xr),Simulation (10e3),Simulation (10e4),Simulation (10e6)
1,8.163265306122447,8.15,8.1663,8.164037
2,14.808644546253873,15.431,14.8831,14.790237
3,20.147815709188944,20.363,20.1587,20.132712
4,24.366217033032736,24.232,24.3902,24.348762
5,27.62609640933417,27.218,27.363,27.621892
6,30.069220581588215,28.78,30.1946,30.076493
7,31.81928103871769,31.701,32.1324,31.866374
8,32.984029583380824,32.212,33.0595,33.043469
9,33.657173044266145,34.67,33.8595,33.646833
10,33.920053458570074,34.976,33.5251,33.913265
11,33.84313723757558,36.932,34.2325,33.839147
12,33.48733431052624,32.127,33.3032,33.545635
13,32.905165989179224,33.818,33.1143,32.903283
14,32.14179828002855,32.791,32.8519,32.151612
15,31.23595556854087,31.833,30.9221,31.241107
16,30.220727987703942,30.313,30.6492,30.244863
17,29.124284341891553,29.416,30.1026,29.054649
18,27.970501168683366,27.769,27.2276,27.912847
19,26.77951736986566,25.86,26.8784,26.691799
20,25.56822281405004,22.973,25.1491,25.575107
21,24.35068839433337,24.741,24.3501,24.43499
22,23.138544203664154,20.727,23.4932,23.197436
23,21.94131175775203,19.561,22.2263,21.969031
24,20.76669554120275,19.229,20.5606,20.721273
25,19.62083856878567,22.223,19.0892,19.636634
